Models,,,,,,,,,,,,
,,,,,,,,,,,,
update,segment_var_name,pline_variable,_bm_model_name,_bm_model_description,_bm_model_hide,_bm_model_modelsBefore,_bm_model_modelsAfter,_bm_model_image,_bm_model_descriptionLocation,model_variable,security_,guid
add,familyBsgCatalog2014,plineMissionControl,General Information V3,,1,,,,shown,modelGenericLiteFlowV3,,int1CenturyLink200111
add,familyBsgCatalog2014,plineBundles,Lite Model Bundles,Dummy model - used as a container to display LITE Model punchins.,1,"liteManagedOffice,
liteManagedOfficeEssentials",,,shown,modelCntnrBundlesLite,,int1CenturyLink200112
add,familyBsgCatalog2014,plineBundles,Detail Model Bundles,Dummy model - used as a container to display DETAIL Model punchins.,1,"ctlPunchinBundles,
ctlPunchinHostedVoip,
ctlPunchinBundlesMO",,,hidden,modelCntnrBundlesDetail,,int1CenturyLink200113
add,familyBsgCatalog2014,plineContactCenter,Lite Model Contact Center,Dummy model - used as a container to display LITE Model punchins.,1,"liteEZRoute,liteHostedIVR,liteInteractionRouting,liteNotify",,,hidden,modelCntnrContactCenterLite,,int1CenturyLink200114
add,familyBsgCatalog2014,plineContactCenter,Detail Model Contact Center,Dummy model - used as a container to display DETAIL Model punchins.,1,,,,hidden,modelCntnrContactCenterLiteDetail,,int1CenturyLink200115
add,familyBsgCatalog2014,plineCpeAndProSvcs,CPE and Pro Svcs Lite Model,Dummy model - used as a container to display LITE Model punchins.,1,"liteCPE,
liteCPEMaintenance,
liteProSvcs,
nwxCPEMaintenance,
nwxProSvcs",,,hidden,modelCntnrCpeAndProSvcsLite,,int1CenturyLink200116
add,familyBsgCatalog2014,plineCpeAndProSvcs,CPE and Pro Svcs Detail Model,Dummy model - used as a container to display DETAIL Model punchins.,1,,,,hidden,modelCntnrCpeAndProSvcsDetail,,int1CenturyLink200117
add,familyBsgCatalog2014,plineHighSpeedInternet,High Speed Internet Lite Model,Dummy model - used as a container to display LITE Model punchins.,1,"liteCoreConnectPackage,liteHighSpeedInternet",,,hidden,modelCntnrHighSpeedInternetLite,,int1CenturyLink200118
add,familyBsgCatalog2014,plineHighSpeedInternet,High Speed Internet Detail Model,Dummy model - used as a container to display DETAIL Model punchins.,1,,,,hidden,modelCntnrHighSpeedInternetDetail,,int1CenturyLink200119
add,familyBsgCatalog2014,plineHostingAndCloudComputing,Hosting and Cloud Computing Lite Model,Dummy model - used as a container to display LITE Model punchins.,1,"liteBackup,
liteCloudCompute,
liteColocation,
liteInternetHan,
liteManagedApplications,
litePrivateLineHan,
liteProserve,
liteSecurityServices,
liteStorage,
liteTraditionalHosting,
liteUtilityAndVirtualizedServices,
liteVpn,
liteWanOptimization
liteColocationCtl,
liteManagedApplicationsCtl,
nwxHosting",,,hidden,modelCntnrHostingAndCloudComputingLite,,int1CenturyLink200120
add,familyBsgCatalog2014,plineHostingAndCloudComputing,Hosting and Cloud Computing Detail Model,Dummy model - used as a container to display DETAIL Model punchins.,1,,,,hidden,modelCntnrHostingAndCloudComputingDetail,,int1CenturyLink200121
add,familyBsgCatalog2014,plineIpVoice,IP Voice Lite Model,Dummy model - used as a container to display LITE Model punchins.,1,"liteIntegratedAccess,
liteManagedIPCommunications,
liteManagedVoIP,
liteSIPTrunk,
liteHostedVoIP,nwxIntegratedAccess",,,hidden,modelCntnrIpVoiceLite,,int1CenturyLink200122
add,familyBsgCatalog2014,plineIpVoice,IP Voice Detail Model,Dummy model - used as a container to display DETAIL Model punchins.,1,,,,hidden,modelCntnrIpVoiceDetail,,int1CenturyLink200123
add,familyBsgCatalog2014,plineIqNetworking,IQ Networking Lite Model,Dummy model - used as a container to display LITE Model punchins.,1,"liteCoreConnectEnterpriseCCE,
liteIQDeltaPort,
liteIQEnhanced,
liteIQInternational,
liteIQInternet,
liteIQPrivate,
liteIQPlusBasic,
liteIQPlusFinancial,
liteNetworkBasedSecurity,
liteNetworkManagementServiceNMS,
nwxIQNetworking,",,,hidden,modelCntnrIqNetworkingLite,,int1CenturyLink200124
