Product Lines,,,,,,,
,,,,,,,
update,segment_var_name,_bm_pline_name,_bm_pline_description,_bm_pline_hide,pline_variable,security_,guid
add,familyBsgCatalog2014,BSG MISSION CONTROL,All model admin will be performed in this Product Line which will not be visible to the Sales User,0,plineMissionControl,,in2CenturyLink000001
add,familyBsgCatalog2014,Bundles,,0,plineBundles,,in2CenturyLink000002
add,familyBsgCatalog2014,Contact Center,,0,plineContactCenter,,in2CenturyLink000003
add,familyBsgCatalog2014,CPE and Pro Svcs,,0,plineCpeAndProSvcs,,in2CenturyLink000004
add,familyBsgCatalog2014,High Speed Internet,,0,plineHighSpeedInternet,,in2CenturyLink000005
add,familyBsgCatalog2014,Hosting and Cloud Computing,,0,plineHostingAndCloudComputing,,in2CenturyLink000006
add,familyBsgCatalog2014,IP Voice,,0,plineIpVoice,,in2CenturyLink000007
add,familyBsgCatalog2014,IQ Networking,,0,plineIqNetworking,,in2CenturyLink000008
add,familyBsgCatalog2014,IQ Security,,0,plineIqSecurity,,in2CenturyLink000009
add,familyBsgCatalog2014,IT Services,,0,plineItServices,,in2CenturyLink000010
add,familyBsgCatalog2014,Legacy WAN,,0,plineLegacyWan,,in2CenturyLink000011
add,familyBsgCatalog2014,Local Voice,,0,plineLocalVoice,,in2CenturyLink000012
add,familyBsgCatalog2014,Long Distance,,0,plineLongDistance,,in2CenturyLink000013
add,familyBsgCatalog2014,Other Data,,0,plineOtherData,,in2CenturyLink000014
add,familyBsgCatalog2014,Private Line and Ethernet,,0,plinePrivateLineAndEthernet,,in2CenturyLink000015
add,familyBsgCatalog2014,Video,,0,plineVideo,,in2CenturyLink000016
add,familyBsgCatalog2014,Voice Services,,0,plineVoiceServices,,in2CenturyLink000017
